timestep,reward,epsilon
1.535000000000000000e+03,4.800000000000000000e+01,nan
1.556000000000000000e+03,2.100000000000000000e+01,nan
1.575000000000000000e+03,1.900000000000000000e+01,nan
1.601000000000000000e+03,2.600000000000000000e+01,nan
1.623000000000000000e+03,2.200000000000000000e+01,nan
1.685000000000000000e+03,6.200000000000000000e+01,nan
1.701000000000000000e+03,1.600000000000000000e+01,nan
1.733000000000000000e+03,3.200000000000000000e+01,nan
1.777000000000000000e+03,4.400000000000000000e+01,nan
1.796000000000000000e+03,1.900000000000000000e+01,nan
1.822000000000000000e+03,2.600000000000000000e+01,nan
1.857000000000000000e+03,3.500000000000000000e+01,nan
1.868000000000000000e+03,1.100000000000000000e+01,nan
1.932000000000000000e+03,6.400000000000000000e+01,nan
1.949000000000000000e+03,1.700000000000000000e+01,nan
1.978000000000000000e+03,2.900000000000000000e+01,nan
2.010000000000000000e+03,3.200000000000000000e+01,nan
2.027000000000000000e+03,1.700000000000000000e+01,nan
2.052000000000000000e+03,2.500000000000000000e+01,nan
2.090000000000000000e+03,3.800000000000000000e+01,nan
2.106000000000000000e+03,1.600000000000000000e+01,nan
2.128000000000000000e+03,2.200000000000000000e+01,nan
2.141000000000000000e+03,1.300000000000000000e+01,nan
2.159000000000000000e+03,1.800000000000000000e+01,nan
2.197000000000000000e+03,3.800000000000000000e+01,nan
2.214000000000000000e+03,1.700000000000000000e+01,nan
2.228000000000000000e+03,1.400000000000000000e+01,nan
2.257000000000000000e+03,2.900000000000000000e+01,nan
2.331000000000000000e+03,7.400000000000000000e+01,nan
2.353000000000000000e+03,2.200000000000000000e+01,nan
2.379000000000000000e+03,2.600000000000000000e+01,nan
2.399000000000000000e+03,2.000000000000000000e+01,nan
2.416000000000000000e+03,1.700000000000000000e+01,nan
2.437000000000000000e+03,2.100000000000000000e+01,nan
2.517000000000000000e+03,8.000000000000000000e+01,nan
2.581000000000000000e+03,6.400000000000000000e+01,nan
2.630000000000000000e+03,4.900000000000000000e+01,nan
2.660000000000000000e+03,3.000000000000000000e+01,nan
2.675000000000000000e+03,1.500000000000000000e+01,nan
2.696000000000000000e+03,2.100000000000000000e+01,nan
2.724000000000000000e+03,2.800000000000000000e+01,nan
2.748000000000000000e+03,2.400000000000000000e+01,nan
2.784000000000000000e+03,3.600000000000000000e+01,nan
2.859000000000000000e+03,7.500000000000000000e+01,nan
2.884000000000000000e+03,2.500000000000000000e+01,nan
2.915000000000000000e+03,3.100000000000000000e+01,nan
2.929000000000000000e+03,1.400000000000000000e+01,nan
3.022000000000000000e+03,9.300000000000000000e+01,nan
3.065000000000000000e+03,4.300000000000000000e+01,nan
3.095000000000000000e+03,3.000000000000000000e+01,nan
3.192000000000000000e+03,9.700000000000000000e+01,nan
3.260000000000000000e+03,6.800000000000000000e+01,nan
3.304000000000000000e+03,4.400000000000000000e+01,nan
3.331000000000000000e+03,2.700000000000000000e+01,nan
3.349000000000000000e+03,1.800000000000000000e+01,nan
3.375000000000000000e+03,2.600000000000000000e+01,nan
3.433000000000000000e+03,5.800000000000000000e+01,nan
3.457000000000000000e+03,2.400000000000000000e+01,nan
3.484000000000000000e+03,2.700000000000000000e+01,nan
3.503000000000000000e+03,1.900000000000000000e+01,nan
3.576000000000000000e+03,7.300000000000000000e+01,nan
3.599000000000000000e+03,2.300000000000000000e+01,nan
3.624000000000000000e+03,2.500000000000000000e+01,nan
3.649000000000000000e+03,2.500000000000000000e+01,nan
3.670000000000000000e+03,2.100000000000000000e+01,nan
3.705000000000000000e+03,3.500000000000000000e+01,nan
3.787000000000000000e+03,8.200000000000000000e+01,nan
3.823000000000000000e+03,3.600000000000000000e+01,nan
3.846000000000000000e+03,2.300000000000000000e+01,nan
3.896000000000000000e+03,5.000000000000000000e+01,nan
3.963000000000000000e+03,6.700000000000000000e+01,nan
3.979000000000000000e+03,1.600000000000000000e+01,nan
4.003000000000000000e+03,2.400000000000000000e+01,nan
4.026000000000000000e+03,2.300000000000000000e+01,nan
4.067000000000000000e+03,4.100000000000000000e+01,nan
4.140000000000000000e+03,7.300000000000000000e+01,nan
4.183000000000000000e+03,4.300000000000000000e+01,nan
4.206000000000000000e+03,2.300000000000000000e+01,nan
4.274000000000000000e+03,6.800000000000000000e+01,nan
4.304000000000000000e+03,3.000000000000000000e+01,nan
4.316000000000000000e+03,1.200000000000000000e+01,nan
4.364000000000000000e+03,4.800000000000000000e+01,nan
4.392000000000000000e+03,2.800000000000000000e+01,nan
4.447000000000000000e+03,5.500000000000000000e+01,nan
4.502000000000000000e+03,5.500000000000000000e+01,nan
4.540000000000000000e+03,3.800000000000000000e+01,nan
4.570000000000000000e+03,3.000000000000000000e+01,nan
4.595000000000000000e+03,2.500000000000000000e+01,nan
4.644000000000000000e+03,4.900000000000000000e+01,nan
4.654000000000000000e+03,1.000000000000000000e+01,nan
4.714000000000000000e+03,6.000000000000000000e+01,nan
4.736000000000000000e+03,2.200000000000000000e+01,nan
4.779000000000000000e+03,4.300000000000000000e+01,nan
4.854000000000000000e+03,7.500000000000000000e+01,nan
4.901000000000000000e+03,4.700000000000000000e+01,nan
4.965000000000000000e+03,6.400000000000000000e+01,nan
5.005000000000000000e+03,4.000000000000000000e+01,nan
5.047000000000000000e+03,4.200000000000000000e+01,nan
5.070000000000000000e+03,2.300000000000000000e+01,nan
5.104000000000000000e+03,3.400000000000000000e+01,nan
5.202000000000000000e+03,9.800000000000000000e+01,nan
5.240000000000000000e+03,3.800000000000000000e+01,nan
5.261000000000000000e+03,2.100000000000000000e+01,nan
5.290000000000000000e+03,2.900000000000000000e+01,nan
5.401000000000000000e+03,1.110000000000000000e+02,nan
5.444000000000000000e+03,4.300000000000000000e+01,nan
5.512000000000000000e+03,6.800000000000000000e+01,nan
5.631000000000000000e+03,1.190000000000000000e+02,nan
5.646000000000000000e+03,1.500000000000000000e+01,nan
5.686000000000000000e+03,4.000000000000000000e+01,nan
5.722000000000000000e+03,3.600000000000000000e+01,nan
5.784000000000000000e+03,6.200000000000000000e+01,nan
5.800000000000000000e+03,1.600000000000000000e+01,nan
5.824000000000000000e+03,2.400000000000000000e+01,nan
5.925000000000000000e+03,1.010000000000000000e+02,nan
5.954000000000000000e+03,2.900000000000000000e+01,nan
6.037000000000000000e+03,8.300000000000000000e+01,nan
6.062000000000000000e+03,2.500000000000000000e+01,nan
6.120000000000000000e+03,5.800000000000000000e+01,nan
6.165000000000000000e+03,4.500000000000000000e+01,nan
6.189000000000000000e+03,2.400000000000000000e+01,nan
6.227000000000000000e+03,3.800000000000000000e+01,nan
6.255000000000000000e+03,2.800000000000000000e+01,nan
6.290000000000000000e+03,3.500000000000000000e+01,nan
6.311000000000000000e+03,2.100000000000000000e+01,nan
6.346000000000000000e+03,3.500000000000000000e+01,nan
6.392000000000000000e+03,4.600000000000000000e+01,nan
6.409000000000000000e+03,1.700000000000000000e+01,nan
6.438000000000000000e+03,2.900000000000000000e+01,nan
6.475000000000000000e+03,3.700000000000000000e+01,nan
6.512000000000000000e+03,3.700000000000000000e+01,nan
6.642000000000000000e+03,1.300000000000000000e+02,nan
6.694000000000000000e+03,5.200000000000000000e+01,nan
6.728000000000000000e+03,3.400000000000000000e+01,nan
6.772000000000000000e+03,4.400000000000000000e+01,nan
6.787000000000000000e+03,1.500000000000000000e+01,nan
6.905000000000000000e+03,1.180000000000000000e+02,nan
6.935000000000000000e+03,3.000000000000000000e+01,nan
6.967000000000000000e+03,3.200000000000000000e+01,nan
7.053000000000000000e+03,8.600000000000000000e+01,nan
7.153000000000000000e+03,1.000000000000000000e+02,nan
7.176000000000000000e+03,2.300000000000000000e+01,nan
7.219000000000000000e+03,4.300000000000000000e+01,nan
7.272000000000000000e+03,5.300000000000000000e+01,nan
7.335000000000000000e+03,6.300000000000000000e+01,nan
7.456000000000000000e+03,1.210000000000000000e+02,nan
7.598000000000000000e+03,1.420000000000000000e+02,nan
7.631000000000000000e+03,3.300000000000000000e+01,nan
7.709000000000000000e+03,7.800000000000000000e+01,nan
7.791000000000000000e+03,8.200000000000000000e+01,nan
7.911000000000000000e+03,1.200000000000000000e+02,nan
7.955000000000000000e+03,4.400000000000000000e+01,nan
8.006000000000000000e+03,5.100000000000000000e+01,nan
8.067000000000000000e+03,6.100000000000000000e+01,nan
8.186000000000000000e+03,1.190000000000000000e+02,nan
8.253000000000000000e+03,6.700000000000000000e+01,nan
8.364000000000000000e+03,1.110000000000000000e+02,nan
8.461000000000000000e+03,9.700000000000000000e+01,nan
8.544000000000000000e+03,8.300000000000000000e+01,nan
8.667000000000000000e+03,1.230000000000000000e+02,nan
8.711000000000000000e+03,4.400000000000000000e+01,nan
8.759000000000000000e+03,4.800000000000000000e+01,nan
8.826000000000000000e+03,6.700000000000000000e+01,nan
8.882000000000000000e+03,5.600000000000000000e+01,nan
8.993000000000000000e+03,1.110000000000000000e+02,nan
9.141000000000000000e+03,1.480000000000000000e+02,nan
9.228000000000000000e+03,8.700000000000000000e+01,nan
9.303000000000000000e+03,7.500000000000000000e+01,nan
9.442000000000000000e+03,1.390000000000000000e+02,nan
9.571000000000000000e+03,1.290000000000000000e+02,nan
9.643000000000000000e+03,7.200000000000000000e+01,nan
9.682000000000000000e+03,3.900000000000000000e+01,nan
9.851000000000000000e+03,1.690000000000000000e+02,nan
9.957000000000000000e+03,1.060000000000000000e+02,nan
1.005700000000000000e+04,1.000000000000000000e+02,nan
1.028400000000000000e+04,2.270000000000000000e+02,nan
1.038000000000000000e+04,9.600000000000000000e+01,nan
1.064800000000000000e+04,2.680000000000000000e+02,nan
1.068100000000000000e+04,3.300000000000000000e+01,nan
1.073200000000000000e+04,5.100000000000000000e+01,nan
1.094700000000000000e+04,2.150000000000000000e+02,nan
1.144700000000000000e+04,5.000000000000000000e+02,nan
1.150400000000000000e+04,5.700000000000000000e+01,nan
1.157200000000000000e+04,6.800000000000000000e+01,nan
1.172800000000000000e+04,1.560000000000000000e+02,nan
1.186700000000000000e+04,1.390000000000000000e+02,nan
1.199700000000000000e+04,1.300000000000000000e+02,nan
1.214000000000000000e+04,1.430000000000000000e+02,nan
1.225800000000000000e+04,1.180000000000000000e+02,nan
1.241400000000000000e+04,1.560000000000000000e+02,nan
1.246000000000000000e+04,4.600000000000000000e+01,nan
1.259100000000000000e+04,1.310000000000000000e+02,nan
1.287700000000000000e+04,2.860000000000000000e+02,nan
1.301900000000000000e+04,1.420000000000000000e+02,nan
1.321200000000000000e+04,1.930000000000000000e+02,nan
1.325200000000000000e+04,4.000000000000000000e+01,nan
1.350700000000000000e+04,2.550000000000000000e+02,nan
1.372300000000000000e+04,2.160000000000000000e+02,nan
1.393800000000000000e+04,2.150000000000000000e+02,nan
1.417400000000000000e+04,2.360000000000000000e+02,nan
1.445500000000000000e+04,2.810000000000000000e+02,nan
1.454200000000000000e+04,8.700000000000000000e+01,nan
1.477800000000000000e+04,2.360000000000000000e+02,nan
1.498300000000000000e+04,2.050000000000000000e+02,nan
1.513700000000000000e+04,1.540000000000000000e+02,nan
1.527000000000000000e+04,1.330000000000000000e+02,nan
1.544900000000000000e+04,1.790000000000000000e+02,nan
1.555000000000000000e+04,1.010000000000000000e+02,nan
1.605000000000000000e+04,5.000000000000000000e+02,nan
1.642400000000000000e+04,3.740000000000000000e+02,nan
