timestep,reward,epsilon
1.344000000000000000e+03,1.500000000000000000e+01,8.657000000000001361e-01
1.358000000000000000e+03,1.400000000000000000e+01,8.643000000000002903e-01
1.376000000000000000e+03,1.800000000000000000e+01,8.624999999999998224e-01
1.387000000000000000e+03,1.100000000000000000e+01,8.613999999999999435e-01
1.416000000000000000e+03,2.900000000000000000e+01,8.585000000000002629e-01
1.433000000000000000e+03,1.700000000000000000e+01,8.567999999999997840e-01
1.450000000000000000e+03,1.700000000000000000e+01,8.550999999999999712e-01
1.476000000000000000e+03,2.600000000000000000e+01,8.525000000000002576e-01
1.490000000000000000e+03,1.400000000000000000e+01,8.510999999999997456e-01
1.512000000000000000e+03,2.200000000000000000e+01,8.488999999999999879e-01
1.531000000000000000e+03,1.900000000000000000e+01,8.470000000000001972e-01
1.561000000000000000e+03,3.000000000000000000e+01,8.439999999999998614e-01
1.571000000000000000e+03,1.000000000000000000e+01,8.429999999999999716e-01
1.590000000000000000e+03,1.900000000000000000e+01,8.411000000000001808e-01
1.607000000000000000e+03,1.700000000000000000e+01,8.393999999999997019e-01
1.629000000000000000e+03,2.200000000000000000e+01,8.371999999999999442e-01
1.644000000000000000e+03,1.500000000000000000e+01,8.357000000000001094e-01
1.658000000000000000e+03,1.400000000000000000e+01,8.343000000000002636e-01
1.671000000000000000e+03,1.300000000000000000e+01,8.329999999999997407e-01
1.691000000000000000e+03,2.000000000000000000e+01,8.309999999999999609e-01
1.703000000000000000e+03,1.200000000000000000e+01,8.298000000000000931e-01
1.741000000000000000e+03,3.800000000000000000e+01,8.259999999999998455e-01
1.771000000000000000e+03,3.000000000000000000e+01,8.230000000000001759e-01
1.782000000000000000e+03,1.100000000000000000e+01,8.219000000000002970e-01
1.796000000000000000e+03,1.400000000000000000e+01,8.204999999999997851e-01
1.806000000000000000e+03,1.000000000000000000e+01,8.194999999999998952e-01
1.823000000000000000e+03,1.700000000000000000e+01,8.178000000000000824e-01
1.849000000000000000e+03,2.600000000000000000e+01,8.151999999999997026e-01
1.862000000000000000e+03,1.300000000000000000e+01,8.138999999999998458e-01
1.913000000000000000e+03,5.100000000000000000e+01,8.087999999999997414e-01
1.923000000000000000e+03,1.000000000000000000e+01,8.077999999999998515e-01
